页数,文章链接,文章标题,时间,来源,作者,浏览量
37,https://www.jhc.cn/2021/1001/c4548a136553/page.htm,"金职院举行""专业群带头人说专业群""主题教研活动",2021-10-01,​  教务处,​ 陈紫蔚  辛奇,982
37,https://www.jhc.cn/2021/0930/c4548a136523/page.htm,请党放心 强国有我——金职院隆重举行2021级新生军训成果汇报暨军训总结大会,2021-09-30,宣传部（文化育人办公室）,周飞腾 陈昊 胡跃程 郑佳,929
37,https://mp.weixin.qq.com/s/-wj2_tPcXmLIjdfRdRYikA,武义县人民政府与金华职业技术学院签订合作办学协议,2021-09-30,,,
37,https://www.jhc.cn/2021/0930/c4548a136508/page.htm,金职院举办首届“双百双进”暑期社会实践风采大赛暨第四届新生节开幕式,2021-09-30,校团委,胡宇翔,752
37,https://www.jhc.cn/2021/0929/c4548a136453/page.htm,校长梁克东在“双高计划”建设推进会上作交流发言,2021-09-29,双高办,陈文航,1412
37,https://www.jhc.cn/2021/0928/c4548a136423/page.htm,市政协“委员同心汇·专委窗口”启用仪式暨“高职教育助力共同富裕建设”线下读书沙龙在金职院举行,2021-09-28,组织部、统战部  , 何碧峰,751
37,https://www.jhc.cn/2021/0927/c4548a136415/page.htm,我校学子羊丽君、甘泽良入选全国第四届“闪亮的日子——青春该有的模样”大学生就业创业事迹征集人物,2021-09-27,就业处 医学院 农学院,应莉 郦嘉琦 周飞腾 朱欢,1461
37,https://www.jhc.cn/2021/0927/c4548a136407/page.htm,回归课程本质 不忘育人初心 ——金职院主办全国职业院校教育与体育专业大类课程思政集体备课活动,2021-09-27,师 范 学 院,樊丰富 徐源,828
37,https://www.jhc.cn/2021/0925/c4548a136344/page.htm,金职院党委召开巡视整改专题学习会,2021-09-25,巡察办,吴天昊 摄影 郑胜杰,1257
37,https://www.jhc.cn/2021/0924/c4548a136342/page.htm,金职院召开党建工作例会研究推进党建“双创”工作,2021-09-24,组织部,陈静泓 摄影 孙立臣,831
38,https://www.jhc.cn/2021/0924/c4548a136338/page.htm,浙江大学药学院院长顾臻一行来金职院考察交流,2021-09-24,制药学院,何中丽 摄影 郑胜杰,1000
38,https://www.jhc.cn/2021/0924/c4548a136328/page.htm,省教育厅国际合作与交流处处长蓝晶晶一行来金职院调研指导工作,2021-09-24,国合处,金晓,711
38,https://www.jhc.cn/2021/0923/c4548a136297/page.htm,落实整改促实效 担当有为作表率  ——金职院召开巡视整改再动员暨作风建设大会,2021-09-23,宣传部（文化育人中心）,章静 摄影 王天,953
38,https://www.jhc.cn/2021/0918/c4548a136160/page.htm,金职院党委专题研究干部工作,2021-09-18,组织部,周孝强   摄影 郑胜杰,1642
38,https://www.jhc.cn/2021/0917/c4548a136143/page.htm,新学期 新起点 新目标——校领导深入学生一线走访看望2021级新生,2021-09-17,学生处,陈颖燕 徐娜 周飞腾等 ,1327
38,https://mp.weixin.qq.com/s/8c8GKuIvatXlLmL8yV1Dzg,金职院启动新学期核酸抽检,2021-09-17,,,
38,https://www.jhc.cn/2021/0917/c4548a136136/page.htm,副校长成军在“职业教育教师能力提升高研班”座谈会上作交流发言,2021-09-17,双高办 ,陈文航,903
38,https://www.jhc.cn/2021/0917/c4548a136119/page.htm,金职院召开2021年审计工作联席会议,2021-09-17,审计处,梁小琴,616
38,https://mp.weixin.qq.com/s/vI7kvcNNs0uzxbbYn17emw,秋风清凉送爽  跨山越海相逢——金职院迎新工作亮点纷呈,2021-09-17,,,
38,https://mp.weixin.qq.com/s/B4DcK9ZEa3BMsMSBncIAYw,所有将来 皆是可盼——金职院迎来8000余2021级新生,2021-09-17,,,
38,https://www.jhc.cn/2021/0915/c4548a136067/page.htm,金职院召开2021年“双高”建设任务推进与预算执行研讨会,2021-09-15,双高办,​ 陈文航,1206
38,https://www.jhc.cn/2021/0913/c4548a136040/page.htm,省退役军人事务厅副厅长郭国松一行来金职院调研指导工作,2021-09-13,继教处,陈泓伊,1024
38,https://mp.weixin.qq.com/s/f2fK4gPsYG4Vr17CkVrFMg,赓续百年初心 担当育人使命——金职院隆重举行2021年教师节表彰大会,2021-09-10,,,
38,https://www.jhc.cn/2021/0910/c4548a135994/page.htm,巡视整改进行时 从严从实抓整改——学校党委召开2021年第三季度全面从严治党专题会议,2021-09-10,校办,王升,1163
39,https://www.jhc.cn/2021/0910/c4548a135967/page.htm,政校联动  产教协同育人——金华经济技术开发区管委会与金职院开展深度对接交流,2021-09-10,校办(合作与发展办),​徐茹倩,827
39,https://www.jhc.cn/2021/0910/c4548a135942/page.htm,金华军分区首长、96717部队领导教师节来校慰问,2021-09-10,学生处 , 吴一玲,1735
